,state,begin,end,poll_time,poll_date,week,day_of_week,pollster,method,vtype,n_obs,clinton,trump,both,other,poll_type,p_clinton,n_clinton,n_respondents
912,pennsylvania,2016-10-06,2016-10-17,11,2016-10-11,41,1,Ipsos/Reuters,Internet,Likely Voters,1467.0,45.0,39.0,84.0,7.0,0,0.5357142857142857,660.15,1232.28
914,pennsylvania,2016-10-10,2016-10-16,6,2016-10-13,41,3,Quinnipiac,Live Phone,Likely Voters,660.0,47.0,41.0,88.0,8.0,0,0.5340909090909091,310.2,580.8
916,pennsylvania,2016-10-08,2016-10-16,8,2016-10-12,41,2,WashPost/SurveyMonkey,Internet,Likely Voters,1449.0,51.0,42.0,93.0,0.0,0,0.5483870967741935,738.99,1347.57
918,pennsylvania,2016-10-07,2016-10-11,4,2016-10-09,40,6,Bloomberg/Selzer,Live Phone,Likely Voters,806.0,51.0,42.0,93.0,3.0,0,0.5483870967741935,411.06,749.58
920,pennsylvania,2016-10-07,2016-10-10,3,2016-10-08,40,5,Lucid/The Times-Picayune,Internet,Likely Voters,1457.0,47.0,38.0,85.0,9.0,0,0.5529411764705883,684.79,1238.45
921,pennsylvania,2016-10-04,2016-10-09,5,2016-10-06,40,3,Susquehanna (R)/ABC27 News,IVR/Live Phone,Likely Voters,764.0,44.0,40.0,84.0,7.0,0,0.5238095238095238,336.16,641.76
922,pennsylvania,2016-10-05,2016-10-07,2,2016-10-06,40,3,CBS/YouGov,Internet,Likely Voters,997.0,48.0,40.0,88.0,7.0,0,0.5454545454545454,478.56,877.36
923,pennsylvania,2016-10-03,2016-10-06,3,2016-10-04,40,1,NBC/WSJ/Marist,Live Phone,Likely Voters,709.0,51.0,39.0,90.0,7.0,0,0.5666666666666667,361.59,638.1
925,pennsylvania,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,890.0,49.0,43.0,92.0,0.0,0,0.532608695652174,436.1,818.8
926,pennsylvania,2016-09-30,2016-10-03,3,2016-10-01,39,5,Monmouth University,Live Phone,Likely Voters,402.0,50.0,40.0,90.0,8.0,0,0.5555555555555556,201.0,361.8
927,pennsylvania,2016-09-28,2016-10-02,4,2016-09-30,39,4,Franklin and Marshall College,Live Phone/Online,Registered Voters,813.0,48.0,36.0,84.0,9.0,1,0.5714285714285714,390.24,682.92
929,pennsylvania,2016-09-27,2016-10-02,5,2016-09-29,39,3,Quinnipiac,Live Phone,Likely Voters,535.0,45.0,41.0,86.0,8.0,0,0.5232558139534884,240.75,460.1
931,pennsylvania,2016-09-27,2016-09-28,1,2016-09-27,39,1,PPP (D-Vote Vets Action Fund),IVR/Online,Likely Voters,886.0,45.0,39.0,84.0,8.0,0,0.5357142857142857,398.7,744.24
933,pennsylvania,2016-09-20,2016-09-25,5,2016-09-22,38,3,CNN,Live Phone,Likely Voters,771.0,45.0,44.0,89.0,9.0,0,0.5056179775280899,346.95,686.19
935,pennsylvania,2016-09-19,2016-09-23,4,2016-09-21,38,2,Muhlenberg/Morning Call,Live Phone,Likely Voters,486.0,44.0,41.0,85.0,11.0,0,0.5176470588235295,213.84,413.1
937,pennsylvania,2016-09-12,2016-09-23,11,2016-09-17,37,5,Mercyhurst University,Live Phone,Registered Voters,420.0,42.0,41.0,83.0,7.0,1,0.5060240963855421,176.4,348.6
938,pennsylvania,2016-09-10,2016-09-19,9,2016-09-14,37,2,GQR (D-Democracy Corps/WVWV),Live Phone,Likely Voters,400.0,46.0,38.0,84.0,11.0,0,0.5476190476190477,184.0,336.0
939,pennsylvania,2016-09-12,2016-09-16,4,2016-09-14,37,2,Muhlenberg/Morning Call,Live Phone,Likely Voters,405.0,47.0,38.0,85.0,11.0,0,0.5529411764705883,190.35,344.25
941,pennsylvania,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,776.0,46.0,44.0,90.0,0.0,0,0.5111111111111111,356.96,698.4
942,pennsylvania,2016-08-29,2016-09-07,9,2016-09-02,35,4,Quinnipiac,Live Phone,Likely Voters,778.0,48.0,43.0,91.0,3.0,0,0.5274725274725275,373.44,707.98
944,pennsylvania,2016-08-30,2016-09-02,3,2016-08-31,35,2,CBS/YouGov,Internet,Likely Voters,1091.0,45.0,37.0,82.0,11.0,0,0.5487804878048781,490.95,894.62
945,pennsylvania,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,2861.0,47.0,43.0,90.0,0.0,1,0.5222222222222223,1344.67,2574.9
947,pennsylvania,2016-08-30,2016-08-31,1,2016-08-30,35,1,PPP (D- Constitutional Responsibility Project),IVR/Online,Likely Voters,814.0,47.0,42.0,89.0,0.0,0,0.5280898876404494,382.58,724.46
948,pennsylvania,2016-08-26,2016-08-29,3,2016-08-27,34,5,Monmouth University,Live Phone,Likely Voters,402.0,48.0,40.0,88.0,8.0,0,0.5454545454545454,192.96,353.76
949,pennsylvania,2016-08-25,2016-08-29,4,2016-08-27,34,5,Franklin and Marshall College,Live Phone/Online,Likely Voters,496.0,47.0,40.0,87.0,6.0,0,0.5402298850574713,233.12,431.52
951,pennsylvania,2016-08-26,2016-08-27,1,2016-08-26,34,4,PPP (D-NELP),IVR/Online,Likely Voters,1194.0,48.0,43.0,91.0,0.0,0,0.5274725274725275,573.12,1086.54
952,pennsylvania,2016-08-03,2016-08-07,4,2016-08-05,31,4,NBC/WSJ/Marist,Live Phone,Registered Voters,834.0,48.0,37.0,85.0,9.0,1,0.5647058823529412,400.32,708.9
954,pennsylvania,2016-07-30,2016-08-07,8,2016-08-03,31,2,Quinnipiac,Live Phone,Likely Voters,815.0,52.0,42.0,94.0,1.0,0,0.5531914893617021,423.8,766.1
956,pennsylvania,2016-07-31,2016-08-04,4,2016-08-02,31,1,Susquehanna (R)/ABC27 News,IVR/Live Phone,Likely Voters,772.0,47.0,37.0,84.0,8.0,0,0.5595238095238095,362.84,648.48
958,pennsylvania,2016-07-29,2016-08-01,3,2016-07-30,30,5,Franklin and Marshall College,Live Phone/Online,Likely Voters,389.0,49.0,38.0,87.0,6.0,0,0.5632183908045977,190.61,338.43
960,pennsylvania,2016-07-29,2016-07-31,2,2016-07-30,30,5,PPP (D),IVR/Online,Likely Voters,1505.0,45.0,42.0,87.0,6.0,0,0.5172413793103449,677.25,1309.35
962,pennsylvania,2016-07-25,2016-07-27,2,2016-07-26,30,1,Suffolk,Live Phone,Likely Voters,500.0,50.0,41.0,91.0,0.0,0,0.5494505494505495,250.0,455.0
964,pennsylvania,2016-06-30,2016-07-11,11,2016-07-05,27,1,Quinnipiac,Live Phone,Registered Voters,982.0,41.0,43.0,84.0,4.0,1,0.4880952380952381,402.62,824.88
966,pennsylvania,2016-07-05,2016-07-10,5,2016-07-07,27,3,NBC/WSJ/Marist,Live Phone,Registered Voters,829.0,45.0,36.0,81.0,13.0,1,0.5555555555555556,373.05,671.49
968,pennsylvania,2016-06-27,2016-06-28,1,2016-06-27,26,0,Gravis Marketing/OANN,Automated Phone,Registered Voters,1958.0,48.0,47.0,95.0,5.0,1,0.5052631578947369,939.84,1860.1
969,pennsylvania,2016-06-22,2016-06-23,1,2016-06-22,25,2,PPP (D-Americans United for Change/Constitutional Responsibility Project) ,IVR/Online,Likely Voters,980.0,46.0,42.0,88.0,0.0,0,0.5227272727272727,450.8,862.4
970,pennsylvania,2016-06-11,2016-06-20,9,2016-06-15,24,2,GQR (D-Democracy Corps/Women's Voices Women Vote),Live Phone,Likely Voters,300.0,49.0,39.0,88.0,8.0,0,0.5568181818181818,147.0,264.0
972,pennsylvania,2016-06-08,2016-06-19,11,2016-06-13,24,0,Quinnipiac,Live Phone,Registered Voters,950.0,42.0,41.0,83.0,3.0,1,0.5060240963855421,399.0,788.5
974,pennsylvania,2016-06-03,2016-06-05,2,2016-06-04,22,5,PPP (D),IVR/Online,Likely Voters,1106.0,41.0,40.0,81.0,9.0,0,0.5061728395061729,453.46,895.86
975,pennsylvania,2016-04-27,2016-05-08,11,2016-05-02,18,0,Quinnipiac,Live Phone,Registered Voters,1077.0,43.0,42.0,85.0,2.0,1,0.5058823529411764,463.11,915.45
976,pennsylvania,2016-04-18,2016-04-20,2,2016-04-19,16,1,NBC/WSJ/Marist,Live Phone,Registered Voters,2606.0,54.0,39.0,93.0,0.0,1,0.5806451612903226,1407.24,2423.58
977,pennsylvania,2016-04-04,2016-04-07,3,2016-04-05,14,1,FOX,Live Phone,Likely Voters,1607.0,44.0,44.0,88.0,2.0,0,0.5,707.08,1414.16
985,rhode island,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,391.0,48.0,38.0,86.0,0.0,0,0.5581395348837209,187.68,336.26
986,rhode island,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,308.0,57.0,40.0,97.0,0.0,0,0.5876288659793815,175.56,298.76
987,rhode island,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,540.0,49.0,37.0,86.0,0.0,0,0.5697674418604651,264.6,464.4
988,rhode island,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,625.0,50.0,40.0,90.0,0.0,1,0.5555555555555556,312.5,562.5
990,south carolina,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,1501.0,43.0,47.0,90.0,7.0,0,0.4777777777777778,645.43,1350.9
991,south carolina,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,325.0,42.0,54.0,96.0,4.0,0,0.4375,136.5,312.0
992,south carolina,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,604.0,44.0,49.0,93.0,0.0,0,0.4731182795698925,265.76,561.72
993,south carolina,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,2223.0,43.0,45.0,88.0,9.0,0,0.48863636363636365,955.89,1956.24
994,south carolina,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,528.0,47.0,48.0,95.0,0.0,0,0.49473684210526314,248.16,501.6
995,south carolina,2016-09-18,2016-09-26,8,2016-09-22,38,3,Winthrop University,Live Phone,Likely Voters,475.0,38.0,42.0,80.0,9.0,0,0.475,180.5,380.0
996,south carolina,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,703.0,43.0,51.0,94.0,0.0,0,0.4574468085106383,302.29,660.82
997,south carolina,2016-09-07,2016-09-09,2,2016-09-08,36,3,Starboard Communications (R- SCGOP),Live Phone,Likely Voters,600.0,35.0,48.0,83.0,7.0,0,0.42168674698795183,210.0,498.0
998,south carolina,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,894.0,42.0,49.0,91.0,0.0,1,0.46153846153846156,375.48,813.54
1000,south carolina,2016-08-18,2016-08-21,3,2016-08-19,33,4,Feldman (D-South Carolina Democratic Party),Live Phone,Likely Voters,600.0,39.0,39.0,78.0,6.0,0,0.5,234.0,468.0
1002,south carolina,2016-08-15,2016-08-17,2,2016-08-16,33,1,Gravis Marketing,IVR/Online,Registered Voters,768.0,42.0,46.0,88.0,0.0,1,0.4772727272727273,322.56,675.84
1004,south carolina,2016-08-09,2016-08-10,1,2016-08-09,32,1,PPP (D),IVR/Online,Likely Voters,1290.0,39.0,41.0,80.0,7.0,0,0.4875,503.1,1032.0
1007,south dakota,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,345.0,29.0,53.0,82.0,0.0,0,0.35365853658536583,100.05,282.9
1008,south dakota,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,311.0,40.0,56.0,96.0,0.0,0,0.4166666666666667,124.4,298.56
1009,south dakota,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,418.0,32.0,53.0,85.0,0.0,0,0.3764705882352941,133.76,355.3
1010,south dakota,2016-10-18,2016-10-20,2,2016-10-19,42,2,Mason-Dixon,Live Phone,Likely Voters,400.0,37.0,44.0,81.0,0.0,0,0.4567901234567901,148.0,324.0
1011,south dakota,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,809.0,37.0,51.0,88.0,0.0,1,0.42045454545454547,299.33,711.92
1013,tennessee,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,905.0,41.0,50.0,91.0,8.0,0,0.45054945054945056,371.05,823.55
1014,tennessee,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,339.0,38.0,57.0,95.0,5.0,0,0.4,128.82,322.05
1015,tennessee,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,596.0,35.0,43.0,78.0,0.0,0,0.44871794871794873,208.6,464.88
1016,tennessee,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,644.0,38.0,50.0,88.0,8.0,0,0.4318181818181818,244.72,566.72
1017,tennessee,2016-10-14,2016-10-17,3,2016-10-15,41,5,ICITIZEN,Internet,Registered Voters,508.0,34.0,44.0,78.0,14.0,1,0.4358974358974359,172.72,396.24
1018,tennessee,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,800.0,34.0,49.0,83.0,0.0,0,0.40963855421686746,272.0,664.0
1019,tennessee,2016-09-28,2016-10-02,4,2016-09-30,39,4,MTSU,Live Phone,Likely Voters,472.0,36.0,48.0,84.0,7.0,0,0.42857142857142855,169.92,396.48
1021,tennessee,2016-09-19,2016-10-02,13,2016-09-25,38,6,Vanderbit/PSRA,Live Phone,Registered Voters,1000.0,33.0,44.0,77.0,9.0,1,0.42857142857142855,330.0,770.0
1022,tennessee,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,578.0,26.0,50.0,76.0,0.0,0,0.34210526315789475,150.28,439.28
1023,tennessee,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,1021.0,37.0,55.0,92.0,0.0,1,0.40217391304347827,377.77,939.32
1025,tennessee,2016-07-25,2016-07-27,2,2016-07-26,30,1,ICITIZEN,Internet,Registered Voters,531.0,33.0,49.0,82.0,0.0,1,0.4024390243902439,175.23,435.42
1027,tennessee,2016-04-25,2016-05-11,16,2016-05-03,18,1,Vanderbit/PSRA,Live Phone,Registered Voters,1001.0,35.0,44.0,79.0,2.0,1,0.4430379746835443,350.35,790.79
1028,texas,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,2048.0,42.0,46.0,88.0,5.0,0,0.4772727272727273,860.16,1802.24
1029,texas,2016-10-30,2016-11-01,2,2016-10-31,44,0,NBC/WSJ/Marist,Live Phone,Likely Voters,679.0,41.0,49.0,90.0,8.0,0,0.45555555555555555,278.39,611.1
1031,texas,2016-10-27,2016-10-29,2,2016-10-28,43,4,Dixie Strategies (R)/KTVT-CBS 11,IVR/Live Phone,Likely Voters,980.0,39.0,52.0,91.0,2.0,0,0.42857142857142855,382.2,891.8
1032,texas,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,429.0,41.0,55.0,96.0,5.0,0,0.4270833333333333,175.89,411.84
1033,texas,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,1251.0,34.0,48.0,82.0,0.0,0,0.4146341463414634,425.34,1025.82
1034,texas,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,2441.0,40.0,47.0,87.0,6.0,0,0.45977011494252873,976.4,2123.67
1035,texas,2016-10-22,2016-10-24,2,2016-10-23,42,6,Pulse/Crosswind,IVR/Online,Likely Voters,800.0,38.0,45.0,83.0,0.0,0,0.4578313253012048,304.0,664.0
1036,texas,2016-10-14,2016-10-23,9,2016-10-18,42,1,YouGov/University of Texas/Texas Tribune,Internet,Likely Voters,959.0,42.0,45.0,87.0,7.0,0,0.4827586206896552,402.78,834.33
1037,texas,2016-10-20,2016-10-21,1,2016-10-20,42,3,CBS/YouGov,Internet,Likely Voters,1031.0,43.0,46.0,89.0,3.0,0,0.48314606741573035,443.33,917.59
1038,texas,2016-10-08,2016-10-16,8,2016-10-12,41,2,WashPost/SurveyMonkey,Internet,Likely Voters,1332.0,46.0,48.0,94.0,0.0,0,0.48936170212765956,612.72,1252.08
1040,texas,2016-10-07,2016-10-15,8,2016-10-11,41,1,University of Houston,Live Phone,Likely Voters,1000.0,38.0,41.0,79.0,4.0,0,0.4810126582278481,380.0,790.0
1041,texas,2016-10-10,2016-10-12,2,2016-10-11,41,1,SurveyUSA/TEGNA,IVR/Online,Likely Voters,638.0,43.0,47.0,90.0,1.0,0,0.4777777777777778,274.34,574.2
1042,texas,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,1111.0,34.0,50.0,84.0,0.0,0,0.40476190476190477,377.74,933.24
1043,texas,2016-09-29,2016-10-01,2,2016-09-30,39,4,Dixie Strategies (R)/KTVT-CBS 11,IVR/Live Phone,Likely Voters,780.0,38.0,45.0,83.0,3.0,0,0.4578313253012048,296.4,647.4
1044,texas,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,869.0,29.0,51.0,80.0,0.0,0,0.3625,252.01,695.2
1045,texas,2016-09-01,2016-09-11,10,2016-09-06,36,1,Texas Lyceum,Live Phone,Likely Voters,502.0,36.0,42.0,78.0,0.0,0,0.46153846153846156,180.72,391.56
1047,texas,2016-08-09,2016-09-01,23,2016-08-20,33,5,Washington Post/SurveyMonkey,Internet,Registered Voters,5147.0,46.0,45.0,91.0,0.0,1,0.5054945054945055,2367.62,4683.77
1049,texas,2016-08-12,2016-08-14,2,2016-08-13,32,5,PPP (D),IVR/Online,Likely Voters,944.0,38.0,44.0,82.0,2.0,0,0.4634146341463415,358.72,774.08
1051,texas,2016-08-08,2016-08-09,1,2016-08-08,32,0,Dixie Strategies (R)/KTVT-CBS 11,IVR/Live Phone,Likely Voters,1018.0,36.0,46.0,82.0,9.0,0,0.43902439024390244,366.48,834.76
1052,texas,2016-06-10,2016-06-19,9,2016-06-14,24,1,YouGov/University of Texas/Texas Tribune,Internet,Registered Voters,1200.0,33.0,41.0,74.0,19.0,1,0.44594594594594594,396.0,888.0
1054,utah,2016-10-30,2016-11-02,3,2016-10-31,44,0,Monmouth University,Live Phone,Likely Voters,402.0,31.0,37.0,68.0,30.0,0,0.45588235294117646,124.62,273.36
1055,utah,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,1247.0,30.0,33.0,63.0,35.0,0,0.47619047619047616,374.1,785.61
1056,utah,2016-10-29,2016-10-31,2,2016-10-30,43,6,Rasmussen/Heat Street,IVR/Online,Likely Voters,750.0,31.0,42.0,73.0,26.0,0,0.4246575342465753,232.5,547.5
1057,utah,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,315.0,29.0,66.0,95.0,6.0,0,0.30526315789473685,91.35,299.25
1058,utah,2016-10-20,2016-10-27,7,2016-10-23,42,6,Dan Jones/Salt Lake Tribune/Hinckley Institute,Live Phone/Online,Likely Voters,823.0,24.0,32.0,56.0,35.0,0,0.42857142857142855,197.52,460.88
1059,utah,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,297.0,31.0,44.0,75.0,0.0,0,0.41333333333333333,92.07,222.75
1060,utah,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,1069.0,29.0,32.0,61.0,37.0,0,0.47540983606557374,310.01,652.09
1061,utah,2016-10-23,2016-10-24,1,2016-10-23,42,6,Rasmussen/Heat Street,IVR/Online,Likely Voters,750.0,28.0,32.0,60.0,35.0,0,0.4666666666666667,210.0,450.0
1062,utah,2016-10-14,2016-10-16,2,2016-10-15,41,5,Rasmussen/Heat Street,IVR/Online,Likely Voters,750.0,28.0,30.0,58.0,37.0,0,0.4827586206896552,210.0,435.0
1063,utah,2016-10-12,2016-10-14,2,2016-10-13,41,3,CBS/YouGov,Internet,Likely Voters,951.0,20.0,37.0,57.0,32.0,0,0.3508771929824561,190.2,542.07
1064,utah,2016-10-10,2016-10-12,2,2016-10-11,41,1,Monmouth University,Live Phone,Likely Voters,403.0,28.0,34.0,62.0,31.0,0,0.45161290322580644,112.84,249.86
1065,utah,2016-10-10,2016-10-11,1,2016-10-10,41,0,Y2 Analytics (R),Live Phone,Likely Voters,500.0,26.0,26.0,52.0,40.0,0,0.5,130.0,260.0
1066,utah,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,515.0,33.0,48.0,81.0,0.0,0,0.4074074074074074,169.95,417.15
1067,utah,2016-08-26,2016-09-15,20,2016-09-05,36,0,Ipsos/Reuters,Internet,Likely Voters,408.0,29.0,48.0,77.0,0.0,0,0.37662337662337664,118.32,314.16
1068,utah,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,722.0,35.0,46.0,81.0,0.0,1,0.43209876543209874,252.7,584.82
1070,utah,2016-08-19,2016-08-21,2,2016-08-20,33,5,PPP (D),IVR/Online,Likely Voters,1018.0,24.0,39.0,63.0,24.0,0,0.38095238095238093,244.32,641.34
1072,utah,2016-07-18,2016-08-04,17,2016-07-26,30,1,Dan Jones & Associates/UtahPolicy.com,Live Phone/Online,Likely Voters,858.0,25.0,37.0,62.0,31.0,0,0.4032258064516129,214.5,531.96
1073,utah,2016-06-08,2016-06-17,9,2016-06-12,23,6,Dan Jones & Associates/UtahPolicy.com,Live Phone/Online,Registered Voters,614.0,27.0,36.0,63.0,30.0,1,0.42857142857142855,165.78,386.82
1074,utah,2016-06-02,2016-06-08,6,2016-06-05,22,6,SurveyUSA/Salt Lake Tribune/Hinckley Institute,IVR/Online,Likely Voters,1238.0,35.0,35.0,70.0,13.0,0,0.5,433.3,866.6
1075,utah,2016-05-31,2016-06-01,1,2016-05-31,22,1,Gravis Marketing,Automated Phone,Registered Voters,1519.0,29.0,36.0,65.0,35.0,1,0.4461538461538462,440.51,987.35
1077,utah,2016-05-02,2016-05-10,8,2016-05-06,18,4,Dan Jones & Associates/UtahPolicy.com,Live Phone/Online,Registered Voters,588.0,30.0,43.0,73.0,0.0,1,0.410958904109589,176.4,429.24
1082,vermont,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,424.0,55.0,24.0,79.0,17.0,0,0.6962025316455697,233.2,334.96
1083,vermont,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,304.0,63.0,34.0,97.0,0.0,0,0.6494845360824743,191.52,294.88
1084,vermont,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,502.0,53.0,24.0,77.0,18.0,0,0.6883116883116883,266.06,386.54
1085,vermont,2016-09-29,2016-10-14,15,2016-10-06,40,3,Castleton University/VPR,Live Phone,Likely Voters,579.0,45.0,17.0,62.0,24.0,0,0.7258064516129032,260.55,358.98
1086,vermont,2016-08-09,2016-09-01,23,2016-08-20,33,5,WashPost/SurveyMonkey,Internet,Registered Voters,550.0,56.0,28.0,84.0,0.0,1,0.6666666666666666,308.0,462.0
1088,vermont,2016-07-11,2016-07-23,12,2016-07-17,28,6,Castleton University/VPR,Live Phone,Likely Voters,637.0,39.0,17.0,56.0,31.0,0,0.6964285714285714,248.43,356.72
1089,virginia,2016-10-27,2016-11-02,6,2016-10-30,43,6,SurveyMonkey,Internet,Likely Voters,1942.0,48.0,40.0,88.0,10.0,0,0.5454545454545454,932.16,1708.96
1090,virginia,2016-10-30,2016-10-30,0,2016-10-30,43,6,Remington Research Group (R)/Axiom Strategies,IVR/Live Phone,Likely Voters,1106.0,48.0,43.0,91.0,4.0,0,0.5274725274725275,530.88,1006.46
1091,virginia,2016-10-27,2016-10-30,3,2016-10-28,43,4,Washington Post/GMU,Live Phone,Likely Voters,1024.0,48.0,42.0,90.0,10.0,0,0.5333333333333333,491.52,921.6
1093,virginia,2016-10-26,2016-10-30,4,2016-10-28,43,4,Hampton University,Live Phone,Likely Voters,802.0,41.0,44.0,85.0,0.0,0,0.4823529411764706,328.82,681.7
1094,virginia,2016-10-23,2016-10-30,7,2016-10-26,43,2,Winthrop University,Live Phone,Likely Voters,712.0,44.0,39.0,83.0,9.0,0,0.5301204819277109,313.28,590.96
1096,virginia,2016-10-23,2016-10-29,6,2016-10-26,43,2,UPI/CVOTER,Internet,Likely Voters,337.0,50.0,46.0,96.0,4.0,0,0.5208333333333334,168.5,323.52
1097,virginia,2016-10-07,2016-10-27,20,2016-10-17,42,0,Ipsos/Reuters,Internet,Likely Voters,716.0,48.0,39.0,87.0,0.0,0,0.5517241379310345,343.68,622.92
1098,virginia,2016-10-23,2016-10-26,3,2016-10-24,43,0,Christopher Newport,Live Phone,Likely Voters,814.0,46.0,39.0,85.0,8.0,0,0.5411764705882353,374.44,691.9
1099,virginia,2016-10-20,2016-10-26,6,2016-10-23,42,6,Quinnipiac,Live Phone,Likely Voters,749.0,50.0,38.0,88.0,7.0,0,0.5681818181818182,374.5,659.12
1101,virginia,2016-10-18,2016-10-26,8,2016-10-22,42,5,SurveyMonkey,Internet,Likely Voters,2739.0,48.0,39.0,87.0,11.0,0,0.5517241379310345,1314.72,2382.93
1102,virginia,2016-10-20,2016-10-22,2,2016-10-21,42,4,Remington Research Group (R)/Axiom Strategies,IVR/Live Phone,Likely Voters,1787.0,48.0,43.0,91.0,4.0,0,0.5274725274725275,857.76,1626.17
1103,virginia,2016-10-16,2016-10-19,3,2016-10-17,42,0,Christopher Newport,Live Phone,Likely Voters,834.0,45.0,33.0,78.0,17.0,0,0.5769230769230769,375.3,650.52
1104,virginia,2016-10-17,2016-10-18,1,2016-10-17,42,0,Lucid/The Times-Picayune,Internet,Likely Voters,802.0,43.0,38.0,81.0,12.0,0,0.5308641975308642,344.86,649.62
1105,virginia,2016-10-08,2016-10-16,8,2016-10-12,41,2,WashPost/SurveyMonkey,Internet,Likely Voters,1644.0,54.0,41.0,95.0,0.0,0,0.5684210526315789,887.76,1561.8
1107,virginia,2016-10-12,2016-10-15,3,2016-10-13,41,3,Tarrance (R-Virginia Chamber of Commerce),Live Phone,Likely Voters,500.0,47.0,38.0,85.0,5.0,0,0.5529411764705883,235.0,425.0
1108,virginia,2016-10-11,2016-10-14,3,2016-10-12,41,2,Christopher Newport,Live Phone,Likely Voters,809.0,44.0,29.0,73.0,22.0,0,0.6027397260273972,355.96,590.57
1109,virginia,2016-10-02,2016-10-06,4,2016-10-04,40,1,Roanoke College,Live Phone,Likely Voters,814.0,45.0,36.0,81.0,9.0,0,0.5555555555555556,366.3,659.34
1110,virginia,2016-09-16,2016-10-06,20,2016-09-26,39,0,Ipsos/Reuters,Internet,Likely Voters,594.0,50.0,39.0,89.0,0.0,0,0.5617977528089888,297.0,528.66
1111,virginia,2016-09-28,2016-10-02,4,2016-09-30,39,4,Hampton University,Live Phone,Likely Voters,800.0,46.0,34.0,80.0,0.0,0,0.575,368.0,640.0
1112,virginia,2016-09-27,2016-09-30,3,2016-09-28,39,2,Christopher Newport,Live Phone,Likely Voters,892.0,42.0,35.0,77.0,20.0,0,0.5454545454545454,374.64,686.84
